% ARFF file Created by Marsyas (ArffFileSink)
@relation mfcc.arff
@attribute MFCC0_Power_powerFFT_AudioCh0 real
@attribute MFCC1_Power_powerFFT_AudioCh0 real
@attribute MFCC2_Power_powerFFT_AudioCh0 real
@attribute MFCC3_Power_powerFFT_AudioCh0 real
@attribute MFCC4_Power_powerFFT_AudioCh0 real
@attribute MFCC5_Power_powerFFT_AudioCh0 real
@attribute MFCC6_Power_powerFFT_AudioCh0 real
@attribute MFCC7_Power_powerFFT_AudioCh0 real
@attribute MFCC8_Power_powerFFT_AudioCh0 real
@attribute MFCC9_Power_powerFFT_AudioCh0 real
@attribute MFCC10_Power_powerFFT_AudioCh0 real
@attribute MFCC11_Power_powerFFT_AudioCh0 real
@attribute MFCC12_Power_powerFFT_AudioCh0 real

@data
-45.043697,5.647945,0.699035,1.366088,0.457561,0.757846,0.670384,0.538756,-0.180736,-0.704946,-0.335799,-0.784409,-0.784451
-45.492664,6.196287,0.704012,1.368894,-0.173080,-0.186556,0.564605,0.823926,0.080096,-0.123756,0.581021,0.402122,0.308783
-47.062336,8.125472,0.035750,1.407486,0.692500,-0.045116,-0.088723,0.886647,-0.087508,-0.204770,-0.558065,-0.057542,-0.421402
-47.713900,8.238393,-0.119426,2.118661,1.059243,0.853839,0.719388,1.774757,0.093365,-0.492025,-0.711426,-0.548226,-0.621923
-47.599307,7.272693,-0.170660,1.117589,1.266682,0.555796,-0.034924,1.142562,-0.172655,-0.365579,-0.612998,-0.845266,-0.685284
-44.593040,5.529828,0.657618,1.588188,0.407886,-0.209217,0.297289,0.831953,0.274105,0.107772,0.412696,0.182240,0.001488
-44.795046,5.529379,0.503239,1.251723,0.756609,0.381311,0.722255,1.297998,-0.001473,-0.905680,-0.819947,-0.358830,-0.333508
-46.076723,6.877297,0.505634,1.497470,0.593758,-0.192569,-0.333413,0.889846,1.099129,0.093624,0.171913,0.158072,0.152807
-47.052544,7.694426,0.326174,1.237769,0.239142,-0.207205,0.002880,0.998140,0.264525,-0.031089,-0.571507,0.060620,0.426412
-44.575064,6.347468,0.605881,0.933410,0.369315,0.400259,0.279934,0.755620,0.409498,0.122639,-0.239753,0.171872,0.249595
-46.259723,6.159884,0.717708,1.761253,0.395517,-0.500362,0.219801,1.014247,0.390697,-0.309805,-0.239080,-0.013211,-0.159274
-48.582658,8.383265,-0.296411,2.016725,0.420839,-0.596693,0.518246,1.078345,0.310291,-0.091254,0.299888,0.026445,-0.460248
-46.303418,6.889923,0.853638,1.066191,0.221212,-0.548179,-0.364800,0.497179,-0.006204,0.105804,0.109939,0.264308,-0.300406
-48.798912,8.717325,0.508356,1.545613,0.241950,0.034625,1.162921,1.501374,-0.099537,-1.058951,-0.835393,0.160210,-0.515347
-47.044288,7.209755,0.954844,1.264003,0.408963,-0.117607,0.560383,1.553698,0.423453,-0.837018,-0.813365,-0.195347,-0.245032
-45.729441,7.421406,0.809810,0.583790,0.489329,0.065752,-0.264058,0.673569,0.763962,-0.079224,-0.296443,0.370953,0.154510
-48.546460,7.948730,1.244616,1.239200,0.374585,-0.456245,0.890805,1.530455,-0.370684,-0.620336,0.018161,0.026634,-0.552980
-48.411492,7.150734,1.678942,1.341629,0.322296,0.025245,0.935314,2.033814,0.230289,-1.075931,-0.058205,0.438028,-0.603526
-43.704884,5.561985,0.338334,0.584461,0.160790,0.278467,-0.065434,0.400545,0.519470,0.020729,-0.032631,0.316150,0.303332
-47.671052,7.226361,0.782543,1.058349,0.695078,0.975443,0.700418,1.172113,0.366229,-0.175553,-0.444327,-0.282821,-0.166211
-49.523282,8.536660,0.581935,1.619926,-0.062894,0.254361,0.560509,1.154558,0.346500,0.154952,0.016399,-0.226790,-0.324673
-49.858145,8.334589,-0.263690,1.485245,0.602825,0.336592,0.618547,2.013170,0.116374,-0.013456,-0.147717,-0.308414,0.362548
-44.530357,5.494057,0.173419,0.905933,0.367523,0.313054,0.509160,0.868340,0.620774,0.313815,0.221013,0.360458,0.434011
-47.697615,6.788135,0.252882,0.616536,0.291618,0.278580,0.428959,1.080849,1.452460,0.502555,0.116791,0.730594,0.479218
-48.231985,5.958225,0.976924,1.879992,0.922792,0.188651,0.808676,1.497680,0.146807,-0.012306,-0.605540,-0.700663,-0.770117
-45.867648,5.615741,0.547819,1.114292,0.706320,0.730633,1.085177,1.077985,-0.056735,-0.331336,0.091661,-0.054494,-0.467567
-50.175336,7.476432,-0.410768,1.297484,0.896046,-0.037257,0.507993,1.646549,0.426200,0.166013,-0.085438,-0.084209,0.382479
-50.633023,7.252649,-0.164193,1.758042,0.357472,0.804934,0.785211,1.582572,0.636239,0.252656,-0.036701,0.116042,0.199858
-46.816095,6.019792,1.207443,1.181729,0.452960,0.583521,0.138709,0.239820,0.434237,0.501581,0.353016,0.622214,0.319704
-46.136686,5.345363,0.514035,1.515177,0.713045,0.345469,0.511792,0.890347,0.570457,0.554117,0.315829,0.184116,-0.057775
-47.186127,6.419066,0.111071,1.195729,0.984420,-0.259711,-0.200742,0.935754,0.645178,0.226942,0.643588,0.537930,-0.086552
-47.470115,5.053450,0.755399,1.738899,0.528546,-0.031288,0.542428,1.008877,0.212072,0.156830,0.801093,0.154164,-0.613102
-48.357606,6.186788,0.871666,1.753716,0.110257,-0.802494,0.862655,1.574331,0.306619,0.138061,0.929512,0.379322,-0.178291
-47.183360,5.496344,0.687683,1.683103,0.867852,0.323904,1.379602,1.867833,1.025643,0.875277,0.320034,0.136660,-0.119753
-47.648114,6.040767,0.679989,1.726376,0.790775,0.053824,1.081030,1.522653,0.814090,1.065645,0.057601,-0.266303,-0.366440
-45.045897,5.740187,1.119669,1.517487,0.895605,0.550013,0.551789,1.025817,0.830838,0.189163,-0.644102,0.017163,-0.138086
-46.154445,5.326090,0.964723,1.386185,0.844791,0.958664,0.179969,0.678047,0.449853,0.297910,-0.441866,0.241827,0.232296
-48.956249,5.766188,1.532525,1.105641,-0.596130,-0.033486,0.401422,1.795163,0.564862,-0.227385,-0.338055,0.292527,-0.059145
-47.443456,5.706571,1.556795,1.680476,0.332741,0.305662,0.872440,0.858494,0.113766,-0.115392,-0.409846,-0.455779,-0.019867
-45.522116,5.789954,0.671072,0.826238,-0.036886,0.312953,0.359103,0.402830,0.058826,0.540052,0.424974,-0.469440,-0.124628
-49.630063,6.850880,1.265619,1.705308,0.577449,0.956814,0.816747,0.885006,-0.292290,-0.199376,-0.619928,-0.359504,1.096396
-50.194813,7.388547,0.802548,1.028330,-0.192550,1.161313,0.383717,1.407281,0.623075,0.201820,-0.750691,0.112103,-0.139208
-45.038339,5.038823,0.768300,1.003958,-0.006467,0.345825,0.277959,0.810985,0.661643,0.409436,0.541741,0.381606,0.282862
-48.408642,6.534915,0.834000,0.769980,-0.448978,0.738329,1.155635,0.814462,0.192708,0.116860,-0.225881,-0.172768,0.251213
-48.725320,6.220054,0.722313,1.492300,-0.263693,0.519258,0.184437,1.130493,1.192783,0.180519,-0.124073,-0.391256,0.456079
-51.869760,6.752436,0.688337,1.379900,-1.006078,0.281693,-0.178532,1.878588,1.031591,-0.087981,-0.205000,-0.669158,-0.638821
-50.112670,6.601667,0.766413,1.272946,0.921123,0.468853,0.213518,1.535363,1.326821,-0.025145,-0.392121,-0.649227,-0.413637
-50.640977,6.836284,0.298259,1.115480,0.382960,-0.242023,-0.083912,1.507401,0.951421,-0.222320,-0.140486,-0.688719,-0.162482
-51.825616,6.624907,0.314366,1.162901,-0.320680,0.346495,0.877584,2.611469,1.287633,-0.147523,-0.240412,0.277037,0.272239
-45.653190,5.091696,0.396670,0.872316,0.373860,0.728701,0.809149,0.971999,0.414032,-0.049122,-0.148347,-0.073267,0.169611
-48.369040,5.268725,1.895301,0.253022,0.285157,0.142215,1.363629,0.778633,0.463443,-0.244221,-0.795689,-0.076267,-0.215387
-43.773770,5.338851,0.918958,1.496594,1.519981,0.630604,1.076070,-0.149097,-0.519731,-0.726837,0.841814,0.019430,-0.389073
-43.617203,5.698717,0.727366,1.430117,1.932666,0.361790,1.389402,0.505845,-0.077097,-0.627812,0.017915,0.063148,-0.252501
-43.947713,6.214510,0.733096,1.467045,1.733990,0.646107,0.803809,-0.051090,-0.584570,-0.654707,0.152344,0.165189,-0.201069
-44.267145,5.849027,1.011463,1.599476,0.971826,1.186342,0.911523,0.127401,-0.765772,-0.337659,0.434868,-0.270535,-0.639346
-41.171158,5.491636,0.626506,1.520310,1.020113,0.405377,0.166762,-0.105309,-0.330050,-0.120225,0.200951,-0.057854,-0.083518
-39.316234,4.761318,0.544804,1.312321,0.312893,0.337580,0.382646,0.504411,-0.104111,-0.093464,-0.386602,-0.017172,-0.123246
-43.653348,4.746944,0.505649,2.618918,1.567451,1.001721,1.435081,0.799052,0.110103,0.560983,-0.453632,0.230867,-0.364245
-43.241389,5.434091,1.104122,2.350342,0.855081,0.191661,0.719379,-0.210801,-0.326395,0.868341,-0.273375,0.357961,-0.106541
-43.056664,5.139987,0.393768,2.395370,1.217731,0.380124,0.762149,-0.090530,0.267979,0.341331,-0.455052,0.325563,-0.317569
-43.726860,5.844309,0.248429,2.445482,0.736185,0.994977,1.206996,0.521592,0.056567,0.389316,-0.627847,0.711028,-0.064183
-42.018102,4.897754,1.351151,2.675113,0.827506,0.239184,0.219302,-0.398262,-0.374026,0.649822,0.766807,0.673902,-0.105264
-43.558151,5.868381,0.689007,2.531916,0.522253,-0.016499,0.382953,0.442940,-0.346850,0.057063,-0.475235,0.729251,0.127693
-44.409898,6.559115,0.561645,2.248935,0.146859,0.557735,0.803402,0.919200,0.245426,0.095224,-0.828227,0.646889,-0.462750
-42.793986,5.088614,0.026689,1.598268,0.643288,-0.239352,-0.171791,-0.210302,-0.003492,0.524118,-0.028394,-0.214024,-0.484901
-43.701786,6.173148,0.936264,2.480487,0.472402,-0.059820,0.737681,0.814596,0.453100,0.674393,-0.642481,-0.176515,0.133964
-42.420821,5.951989,0.995710,1.578837,0.681179,0.840113,0.351502,0.043261,0.841389,0.402156,-0.438317,0.453793,0.419818
-44.482583,6.640539,0.067728,1.708862,-0.203244,0.042577,0.688764,0.235307,0.051128,-0.770312,-1.451249,0.269269,0.460201
-44.301379,5.638216,0.494809,2.210633,0.657562,0.697076,1.086503,1.047804,0.485632,-0.460690,-0.964144,0.092986,-0.040325
-42.707160,5.113198,0.627371,1.582584,0.011659,0.053014,0.319493,0.063346,-0.504393,-0.117894,0.068866,0.893001,0.139285
-43.659635,6.549251,0.133040,1.758742,0.945207,0.804210,1.058219,0.385549,0.302808,-0.222497,-0.814404,0.293404,0.112805
-42.625557,5.722059,0.829758,1.929564,0.646330,0.630699,0.968726,0.379739,-0.109771,-0.210003,-0.522175,-0.058899,-0.226810
-46.243530,7.830524,-0.921917,2.667399,0.267625,0.622870,0.267473,0.226852,-0.469997,-0.457886,-1.064448,0.578844,-0.142670
-44.434649,6.104697,0.236002,2.141158,0.902139,0.340282,0.824697,0.635120,-0.078731,0.168803,0.003570,0.802775,0.168523
-43.333929,5.654449,1.371681,1.608764,0.028611,0.342362,0.298488,0.660510,0.234132,-1.324934,-0.821917,0.957552,0.137511
-43.782171,5.414524,1.163211,1.741545,0.472889,0.665797,0.476539,0.629347,0.413142,-0.339739,0.039067,0.585256,-0.216261
-46.081451,7.794245,-0.425855,2.452903,1.022104,0.761968,-0.141486,0.238235,0.422819,-0.066115,-1.038754,0.194823,-0.140427
-44.906323,6.197534,1.061761,1.549469,-0.097688,0.305658,0.619575,0.642206,0.426056,-0.108239,-0.364038,0.314009,-0.477263
-46.631757,6.875787,0.397234,2.065672,0.945530,0.955674,0.831108,0.412835,-0.142056,-0.881185,-0.873192,0.831822,0.131580
-45.651128,6.273452,1.209592,2.348699,0.890747,0.291303,0.505650,-0.100481,-0.174885,0.409883,0.005160,0.132158,-0.500289
-45.658978,5.329681,0.268027,1.700632,1.115583,0.833728,0.626791,0.494130,-0.164437,-0.439983,-0.762262,-0.301818,0.069150
-47.584748,7.863641,-0.282925,2.686318,1.169557,0.350641,0.427073,0.165439,-0.307701,0.188485,-0.249934,0.151402,-0.181378
-47.943631,7.256412,-0.130398,2.610891,0.685513,0.879375,0.328386,0.128923,0.468193,0.287372,-0.768319,0.176247,-0.304020
-47.779704,7.407872,0.914654,2.438255,0.406563,0.290197,0.373328,0.131941,0.377002,0.195620,-0.927155,0.095744,0.437209
