@attribute Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {acoustic, electric}


@data
% filename acoustic/5/a.wav
% srate 86.1328
0.039453,0.011969,0.556615,0.331557,-82.140651,4.447941,1.601663,0.702011,0.210862,0.588192,0.522592,0.467332,0.406007,0.106984,0.034505,0.310094,0.415105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.048656,1.135198,0.039114,0.011868,0.490184,0.305465,0.485395,0.502115,0.459784,0.414753,0.660917,0.489105,0.317635,0.389651,0.329142,0.335741,0.295195,0.529254,0.356665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025432,0.052983,acoustic
0.035742,0.010841,0.605837,0.300026,-82.108166,4.483963,1.568653,0.680234,0.263806,0.594027,0.516538,0.446366,0.424464,0.094974,0.018756,0.305333,0.394549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.046414,1.130883,0.038034,0.011512,0.482752,0.297723,0.503543,0.520914,0.461139,0.422336,0.643428,0.485562,0.315840,0.388816,0.342055,0.333165,0.304815,0.529615,0.365852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024573,0.051231,acoustic
0.033496,0.009654,0.655058,0.268667,-82.168603,4.426407,1.524944,0.719914,0.381965,0.638891,0.515413,0.452575,0.409838,0.085211,0.000464,0.283667,0.376521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.043620,1.124858,0.036290,0.011064,0.470079,0.286206,0.575148,0.589156,0.469361,0.463536,0.704973,0.491901,0.315317,0.393493,0.346218,0.330071,0.316108,0.537574,0.371568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023815,0.050133,acoustic
0.029297,0.008407,0.704280,0.238421,-82.184085,4.462517,1.520052,0.708806,0.469787,0.650217,0.491241,0.443578,0.403286,0.075298,0.023408,0.327104,0.354589,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.041201,1.120561,0.034807,0.010500,0.451722,0.269984,0.579213,0.606629,0.465963,0.465026,0.698063,0.485075,0.320715,0.390187,0.346343,0.326647,0.331580,0.572337,0.379507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022463,0.047341,acoustic
0.025977,0.007179,0.753502,0.207441,-82.181597,4.452022,1.465263,0.691036,0.554259,0.720382,0.517303,0.384798,0.383866,0.071456,0.037380,0.386644,0.366202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.038371,1.113835,0.032325,0.009735,0.426950,0.249415,0.579362,0.609899,0.482619,0.469379,0.676576,0.520416,0.353966,0.435731,0.353135,0.324511,0.336191,0.627297,0.385718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020973,0.045474,acoustic
0.021777,0.005915,0.802724,0.176167,-82.212804,4.399187,1.418588,0.700109,0.621893,0.753226,0.529981,0.388656,0.372028,0.067885,-0.029876,0.302264,0.290822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.035874,1.109410,0.029603,0.008752,0.394555,0.222844,0.594667,0.658333,0.483808,0.472430,0.633278,0.509478,0.363758,0.438677,0.354168,0.322442,0.451528,0.735424,0.494234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018782,0.041241,acoustic
0.017578,0.004644,0.851946,0.146208,-82.179285,4.395667,1.412851,0.721674,0.674828,0.786085,0.511020,0.331944,0.312774,0.035848,-0.026470,0.286336,0.280305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.033562,1.105519,0.025933,0.007434,0.352443,0.187128,0.614526,0.658654,0.478762,0.484506,0.578540,0.496134,0.365634,0.469332,0.425528,0.330239,0.452004,0.738416,0.492995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015890,0.036113,acoustic
0.014063,0.003645,0.901167,0.114162,-81.983475,4.444234,1.418926,0.754972,0.734723,0.799359,0.472579,0.288899,0.287711,0.024092,-0.036074,0.265092,0.246906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.034325,1.111335,0.020657,0.005551,0.296501,0.136764,1.052894,0.690223,0.485581,0.508503,0.511110,0.484682,0.386306,0.474700,0.430529,0.325026,0.453360,0.743377,0.502965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018268,0.054911,acoustic
0.010937,0.002856,0.900973,0.085059,-81.485441,4.575571,1.454021,0.787807,0.778202,0.843904,0.440156,0.221965,0.294292,0.028801,-0.035196,0.286686,0.209352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.041241,1.138717,0.012769,0.002600,0.297082,0.019937,2.373285,0.886200,0.541019,0.528772,0.434887,0.471706,0.395149,0.507777,0.434186,0.329537,0.453448,0.750753,0.514389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043219,0.148226,acoustic
0.011523,0.003259,0.851556,0.086401,-80.805078,4.704616,1.467535,0.818830,0.759066,0.901911,0.438238,0.174169,0.318826,0.067693,-0.107692,0.286046,0.172461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.060968,1.223046,0.012611,0.003156,0.353367,0.020614,3.763730,0.956466,0.530204,0.522794,0.438419,0.509365,0.397525,0.506056,0.457690,0.381696,0.450637,0.750676,0.551388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094502,0.392797,acoustic
